"","region","total_population","percent_white","percent_black","percent_asian","percent_hispanic","per_capita_income","median_rent","median_age"
"490","02140",18164,61,18,9,7,50856,1279,35.3
"491","02141",13126,56,12,19,9,39241,1292,31.7
"492","02142",2838,50,3,33,10,67525,2001,29.3
"493","02143",26056,73,3,12,8,36705,1292,31.9
"494","02144",23854,79,6,7,6,40831,1477,30.7
"495","02145",24659,61,10,8,17,29355,1110,33
"496","02148",59819,48,14,23,10,26648,1100,35.7
"497","02149",42076,57,14,3,22,23401,1053,35.7
"498","02150",36222,25,5,3,63,20617,1013,31
"499","02151",52534,63,3,7,25,26092,1059,37.9
"500","02152",17763,89,1,1,6,37720,1125,43.4
"501","02155",58832,77,7,7,5,34309,1279,35
"502","02163",2100,55,11,21,9,22511,1934,25.7
"503","02169",55064,69,7,18,4,32613,1106,38.1
"504","02170",19796,65,2,29,1,31165,1048,39.3
"505","02171",17735,62,3,30,3,36933,1190,39.2
"506","02176",27239,89,3,3,3,42361,1031,41.3
"507","02180",21498,91,1,3,3,38561,1141,44.6
"508","02184",36051,84,4,8,2,36351,1163,40.7
"509","02186",27094,74,13,6,4,46166,1066,38.5
"510","02188",14655,83,5,8,3,35954,1050,41.8
"511","02189",14609,82,5,4,5,31185,888,42.5
"512","02190",16733,89,2,4,2,37124,1108,41.2
"513","02191",8369,94,0,5,0,34652,1155,46
"514","02199",1273,87,1,9,3,141896,2001,46.8
"515","02203",0,NA,NA,NA,NA,NA,NA,NA
"516","02210",1894,93,1,2,2,94308,2001,37
"517","02215",24213,68,4,18,8,20651,1534,21.6
"518","02301",58982,39,41,2,9,21477,926,35.5
"519","02302",34929,51,30,1,10,22728,883,35.7
"520","02322",4400,82,10,2,3,33005,1010,45.3
"521","02324",26573,87,6,1,4,32991,1059,36.2
"522","02330",11493,95,1,0,1,30918,1274,43.3
"523","02332",15126,96,1,1,1,54596,949,45.5
"524","02333",13894,95,0,2,2,35360,870,42.9
"525","02338",7546,96,0,0,2,33177,1134,44.4
"526","02339",14027,96,0,1,1,41219,910,40.7
"527","02341",10250,94,2,1,1,33337,924,41.3
"528","02343",10667,79,9,2,8,33682,1072,44.9
"529","02346",23247,94,2,1,2,31719,941,41.2
"530","02347",10798,96,1,0,3,35711,881,43
"531","02351",16009,92,3,2,2,34567,1003,38.7
"532","02356",12625,92,3,1,3,40982,993,38.8
"533","02357",959,81,7,4,2,5055,NA,19.9
"534","02359",17916,95,1,0,2,36916,1282,40.4
"535","02360",56816,93,2,1,2,35456,1112,42.7
"536","02364",12673,92,0,2,2,37330,999,42.8
"537","02366",149,44,23,0,23,2396,NA,35
"538","02367",2834,96,0,0,3,38629,622,44.9
"539","02368",32952,35,42,14,5,28092,1112,40.6
"540","02370",17546,92,3,1,1,30051,986,40.3
"541","02375",9833,84,5,3,5,38628,1029,40.3
"542","02379",6928,88,5,1,2,32725,785,42.4
"543","02382",14567,94,1,1,2,32541,886,39.1
"544","02420",14073,73,1,22,2,69777,1496,46.8
"545","02421",17813,72,1,21,3,70103,1614,44.8
"546","02445",20844,78,2,12,5,68108,1799,35.5
"547","02446",28924,73,2,17,6,60512,1691,33.5
"548","02451",17299,74,3,9,10,45644,1384,39.5
"549","02452",15025,70,7,13,8,31988,1500,30.2
"550","02453",28997,64,5,10,18,34152,1107,32.1
"551","02457",1343,66,9,13,8,5860,NA,20.4
"552","02458",11602,75,3,14,6,59071,1438,40.6
"553","02459",18339,80,2,13,3,71128,1502,43.3
"554","02460",9046,79,3,10,5,61686,1361,41.2
"555","02461",6808,68,4,19,4,61088,1714,43.4
"556","02462",1412,77,1,18,1,74279,1080,53.4
"557","02464",2947,73,2,17,4,51744,1341,39.3
"558","02465",11673,80,4,9,5,75857,1435,43.1
"559","02466",9105,72,3,18,6,47551,1525,34.7
"560","02467",23092,75,3,15,5,55288,1833,23.4
"561","02468",5267,81,2,13,2,86528,2001,50.4
"562","02472",32622,80,3,7,7,44700,1337,38.4
"563","02474",26646,82,2,10,4,48199,1310,40.2
"564","02476",16662,86,1,8,3,51709,1212,43.7
"565","02478",24864,80,2,12,4,56884,1438,40.4
"566","02481",16215,83,2,9,4,83035,1732,37.1
"567","02482",10946,81,1,12,5,63889,1280,41.4
"568","02492",20131,88,1,6,3,66190,676,42.9
"569","02493",11538,81,2,11,4,105217,1213,44.2
"570","02494",9109,83,1,11,3,56326,1484,43.4
"571","02532",11455,95,2,0,2,33808,779,44.3
"572","02534",1247,90,1,1,7,36703,NA,53.3
"573","02535",1283,79,0,0,1,42716,1054,45.1
"574","02536",19470,87,4,2,2,33741,1026,48.3
"575","02537",6288,93,1,1,3,32964,1316,42.6
"576","02538",3245,97,1,0,2,24790,1081,35.6
"577","02539",4135,96,1,0,0,38588,1133,49.5
"578","02540",8554,90,2,5,1,49489,929,56.5
"579","02542",1155,56,4,0,13,16979,1083,22.9
"580","02543",736,97,0,1,2,50348,1175,49.7
"581","02553",210,100,0,0,0,33253,NA,29.3
"582","02554",9843,79,6,1,10,47658,1443,39.9
"583","02556",2852,94,1,1,5,46442,1252,59.2
"584","02557",4563,86,8,4,0,30190,1042,44.7
"585","02558",1489,79,4,0,0,31100,879,49
"586","02559",4056,92,3,2,1,36281,773,53.6
"587","02561",468,100,0,0,0,32293,NA,52.6
"588","02562",3371,97,0,1,2,33670,1157,45.9
"589","02563",9616,96,0,1,2,38405,1049,47.5
"590","02564",381,96,0,1,2,38888,NA,41.5
"591","02568",3995,95,1,0,0,30955,1033,41.4
"592","02571",10497,88,3,1,1,30679,922,46.7
"593","02575",2628,96,1,0,2,30136,966,44.4
"594","02576",4888,88,1,3,4,30900,900,41.8
"595","02584",0,NA,NA,NA,NA,NA,NA,NA
"596","02601",13552,76,9,2,7,24219,854,42.3
"597","02630",2113,99,0,0,0,36804,1310,56.4
"598","02631",9610,96,1,0,2,35158,932,52.1
"599","02632",11543,95,0,1,1,33787,1133,50.1
"600","02633",3868,90,8,1,0,46448,870,56.3
"601","02635",3355,97,0,1,1,43999,1616,50.5
"602","02637",84,76,0,24,0,26569,NA,47.6
"603","02638",3355,96,0,0,3,37471,919,59.3
"604","02639",3138,95,0,1,1,27757,908,45.8
"605","02641",355,100,0,0,0,55869,NA,66.5
"606","02642",4919,95,0,2,2,36116,1059,56.7
"607","02643",17,100,0,0,0,NA,NA,NA
"608","02644",4469,99,0,0,1,28462,1692,34.9
"609","02645",9487,92,1,1,3,30999,996,48.8
"610","02646",1946,90,0,7,0,43275,870,60.5
"611","02647",129,100,0,0,0,58517,NA,66.1
"612","02648",6898,93,1,0,2,41204,1305,48.1
"613","02649",14000,91,2,0,2,34717,1135,49.1
"614","02650",1222,97,3,0,0,48467,858,60.9
"615","02651",26,100,0,0,0,NA,NA,NA
"616","02652",1133,98,0,0,2,37742,753,52.9
"617","02653",5982,97,0,0,1,42209,695,62.2
"618","02655",3943,95,1,0,2,56395,1255,54.9
"619","02657",2964,87,4,1,4,45204,859,53.3
"620","02659",837,96,0,0,2,34619,1186,59.4
"621","02660",6018,87,7,0,3,30437,817,52.2
"622","02663",121,100,0,0,0,24332,NA,34.9
"623","02664",9487,92,2,2,2,31253,979,53.2
"624","02666",598,96,0,0,0,42750,939,61.5
"625","02667",2891,94,1,0,0,39902,770,61.6
"626","02668",2755,95,0,1,1,42993,969,47.5
"627","02669",211,100,0,0,0,41827,NA,66
"628","02670",1302,96,1,0,1,38015,939,61.3
"629","02671",844,97,0,0,3,52292,632,57.8
"630","02672",150,100,0,0,0,46733,NA,57.3
"631","02673",8407,91,4,1,3,32671,1103,47
"632","02675",6254,94,1,1,2,41238,1253,60.3
"633","02702",4567,97,0,0,0,31246,1054,39.9
"634","02703",43677,84,4,5,6,30978,823,39.4
"635","02713",114,100,0,0,0,26096,NA,60.8
"636","02715",3195,94,0,0,2,31251,945,39.4
"637","02717",4356,95,0,0,2,32987,735,42.8
"638","02718",6774,89,5,1,5,29144,832,40.5
"639","02719",15952,94,0,3,1,30381,738,45.9
"640","02720",30811,87,3,2,5,25090,644,40.2
"641","02721",26141,81,2,2,11,19321,579,36.3
"642","02723",14298,81,4,2,6,18980,580,37.3
"643","02724",16769,80,3,4,9,18827,551,40.4
"644","02725",2717,94,0,1,3,27714,983,50.3
"645","02726",15524,96,1,1,0,32263,850,43.6
"646","02738",4915,90,1,3,2,45269,791,48.4
"647","02739",6086,99,0,1,0,35941,923,44.8
"648","02740",43308,63,8,1,16,20649,627,37.4
"649","02743",10321,95,0,0,3,31463,649,42.7
"650","02744",11722,66,6,2,23,18190,583,36.6
"651","02745",24830,83,3,0,10,26093,689,39.7
"652","02746",14835,53,10,1,31,15948,628,32
"653","02747",22092,90,3,1,4,25441,880,36.8
"654","02748",12591,92,1,3,0,37929,778,47.7
"655","02760",27081,91,2,4,2,34793,870,38.2
"656","02762",8429,92,0,3,2,39346,997,40.2
"657","02763",1638,97,0,0,3,39837,888,40.7
"658","02764",3926,93,0,0,6,37724,845,43.2
"659","02766",19209,92,2,3,1,32414,846,39.5
